,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,45.48,95,83,14.09,light rain
1,Airai,TL,-8.9266,125.4092,62.73,68,92,3.71,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,6.91,light rain
3,Busselton,AU,-33.65,115.3333,59.4,73,100,19.93,overcast clouds
4,Orange Cove,US,36.6244,-119.3137,97.97,14,1,7.23,clear sky
5,Chino Valley,US,34.7575,-112.4538,97.41,11,0,24.16,clear sky
6,Naze,JP,28.3667,129.4833,72.52,91,100,21.99,light rain
7,Rikitea,PF,-23.1203,-134.9692,73.31,71,47,10.36,scattered clouds
8,Severo-Kurilsk,RU,50.6789,156.125,45.27,85,39,9.01,scattered clouds
9,Havoysund,NO,70.9963,24.6622,43.03,92,100,23.04,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,62.47,55,100,9.6,overcast clouds
11,Jamestown,US,42.097,-79.2353,70.95,47,97,5.14,overcast clouds
12,Bengkulu,ID,-3.8004,102.2655,76.33,83,100,4.12,light rain
13,Hermanus,ZA,-34.4187,19.2345,64.8,79,100,16.84,light rain
14,Novyy Yegorlyk,RU,46.3927,41.8716,70.7,49,95,10.98,overcast clouds
15,Katherine,AU,-14.4667,132.2667,64.72,29,6,8.05,clear sky
16,Zelenoborskiy,RU,66.845,32.3622,52.07,89,100,2.46,overcast clouds
17,Codrington,AU,-38.2667,141.9667,54.86,78,99,3.58,overcast clouds
18,Bara,NG,10.3744,10.7288,77.56,74,77,9.06,broken clouds
19,Estreito,BR,-5.7833,-43.25,72.34,89,40,1.41,scattered clouds
20,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,4.61,clear sky
21,Luanda,AO,-8.8368,13.2343,68.67,87,4,6.62,clear sky
22,Albany,US,42.6001,-73.9662,68.41,79,97,1.99,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,61.12,86,100,11.99,moderate rain
24,Tiksi,RU,71.6872,128.8694,44.37,70,50,4.72,scattered clouds
25,Hobart,AU,-42.8794,147.3294,47.05,74,20,6.91,few clouds
26,Kondoa,TZ,-4.9,35.7833,56.62,94,100,3.69,overcast clouds
27,Akdepe,TM,42.0551,59.3788,77.13,21,0,4.81,clear sky
28,Manaus,BR,-3.1019,-60.025,73.76,93,93,3.67,light rain
29,Alta Floresta,BR,-9.8756,-56.0861,77.38,60,100,4.21,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,65.39,38,8,7.45,clear sky
31,Novoorsk,RU,51.381,58.9813,47.16,75,0,9.35,clear sky
32,Grong,NO,64.4654,12.3149,50.61,89,100,1.25,overcast clouds
33,Saint-Paul,RE,-21.0096,55.2707,73.36,78,43,2.24,scattered clouds
34,Fairbanks,US,64.8378,-147.7164,68.09,43,20,3.44,haze
35,Bluff,NZ,-46.6,168.3333,45.81,76,99,32.5,light rain
36,Butaritari,KI,3.0707,172.7902,82.56,67,14,14.41,few clouds
37,Ibra,OM,22.6906,58.5334,77.77,68,5,4.41,clear sky
38,Xai-Xai,MZ,-25.0519,33.6442,60.58,93,0,7.45,clear sky
39,Gaoua,BF,10.2992,-3.2508,75.36,85,100,4.7,overcast clouds
40,Lincoln,US,40.8,-96.667,92.14,57,0,10.36,clear sky
41,Meulaboh,ID,4.1363,96.1285,75.97,81,100,3.51,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,45.75,89,68,23.17,broken clouds
43,Souillac,MU,-20.5167,57.5167,72.39,81,97,16.17,light rain
44,Barrow,US,71.2906,-156.7887,28.42,93,100,4.61,fog
45,Vaini,TO,-21.2,-175.2,77.04,84,92,14.0,overcast clouds
46,Akhnur,IN,32.8667,74.7333,84.33,30,98,6.71,overcast clouds
47,Upernavik,GL,72.7868,-56.1549,30.0,76,89,7.11,overcast clouds
48,Pisco,PE,-13.7,-76.2167,61.02,82,100,3.44,mist
49,Haines Junction,CA,60.7522,-137.5108,55.72,57,100,7.72,light rain
50,Chuy,UY,-33.6971,-53.4616,47.21,93,2,6.6,clear sky
51,Mecca,SA,21.4267,39.8261,88.7,23,0,3.2,clear sky
52,Cidreira,BR,-30.1811,-50.2056,52.02,68,89,15.95,overcast clouds
53,Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,5.35,light rain
54,Busko-Zdroj,PL,50.4708,20.7188,60.78,81,67,2.39,broken clouds
55,Nikolskoye,RU,59.7035,30.7861,57.09,94,89,2.68,overcast clouds
56,Bethel,US,41.3712,-73.414,70.02,87,75,5.75,broken clouds
57,Aswan,EG,24.0934,32.907,90.57,21,0,15.21,clear sky
58,Lagoa,PT,39.05,-27.9833,61.92,79,22,24.02,few clouds
59,Esperance,AU,-33.8667,121.9,57.99,65,16,31.34,few clouds
60,Kamaishi,JP,39.2667,141.8833,61.45,70,35,11.56,scattered clouds
61,Portland,US,45.5234,-122.6762,61.14,78,100,11.5,overcast clouds
62,Ucluelet,CA,48.9329,-125.5528,59.09,78,23,5.01,few clouds
63,Benjamin Hill,MX,30.1667,-111.1,103.12,17,3,14.07,clear sky
64,Kapaa,US,22.0752,-159.319,85.98,75,75,14.97,broken clouds
65,Sechenovo,RU,55.2244,45.8906,46.65,90,4,1.1,clear sky
66,Iglesias,IT,39.3114,8.535,65.62,70,0,1.32,clear sky
67,Norman Wells,CA,65.282,-126.8329,40.3,96,100,13.6,moderate rain
68,Colquechaca,BO,-18.6667,-66.0167,25.29,46,0,4.5,clear sky
69,Ilulissat,GL,69.2167,-51.1,33.82,80,100,12.66,overcast clouds
70,Castro,BR,-24.7911,-50.0119,39.97,66,0,3.38,clear sky
71,Guaraniacu,BR,-25.1008,-52.8781,37.45,89,0,3.78,clear sky
72,Ponta Do Sol,PT,32.6667,-17.1,69.71,82,6,1.43,clear sky
73,Ushuaia,AR,-54.8,-68.3,40.66,93,40,5.75,scattered clouds
74,Sakakah,SA,29.9697,40.2064,84.63,26,0,10.6,clear sky
75,Qaanaaq,GL,77.484,-69.3632,28.81,73,6,7.78,clear sky
76,Pacific Grove,US,36.6177,-121.9166,74.55,81,75,11.5,broken clouds
77,Oktyabrskoye,RU,43.0645,44.7417,62.74,82,99,4.47,overcast clouds
78,Aklavik,CA,68.2191,-135.0107,45.66,67,92,13.24,overcast clouds
79,Clarksdale,US,34.2001,-90.5709,91.38,66,0,8.05,clear sky
80,Saldanha,ZA,-33.0117,17.9442,59.29,91,100,15.88,light rain
81,Faanui,PF,-16.4833,-151.75,79.72,75,48,23.35,scattered clouds
82,Aracuai,BR,-16.8497,-42.0703,74.01,50,91,2.21,overcast clouds
83,Bredasdorp,ZA,-34.5322,20.0403,61.65,60,100,11.05,overcast clouds
84,Port Alfred,ZA,-33.5906,26.891,76.17,29,100,5.99,overcast clouds
85,Inegol,TR,40.0781,29.5133,65.48,93,74,2.77,broken clouds
86,Tuatapere,NZ,-46.1333,167.6833,46.36,84,100,20.6,overcast clouds
87,Vostok,RU,46.4856,135.8833,66.67,43,6,1.39,clear sky
88,Mar Del Plata,AR,-38.0023,-57.5575,51.1,71,89,1.01,overcast clouds
89,Nazca,PE,-14.8333,-74.95,68.81,54,0,1.83,clear sky
90,Basmat,IN,19.3167,77.1667,82.72,62,90,4.14,overcast clouds
91,Saint George,US,37.1041,-113.5841,105.64,5,0,32.21,clear sky
92,Bjerkvik,NO,68.5597,17.5189,50.99,88,81,4.21,broken clouds
93,Oktyabrskiy,RU,54.4815,53.471,46.45,93,95,4.5,overcast clouds
94,Nome,US,64.5011,-165.4064,51.17,53,100,8.05,overcast clouds
95,Vrangel,RU,42.7297,133.0839,55.15,76,100,10.67,overcast clouds
96,Kencong,ID,-8.2833,113.3667,76.82,87,68,2.75,broken clouds
97,Price,US,39.5994,-110.8107,97.86,5,0,21.85,clear sky
98,Maun,BW,-19.9833,23.4167,51.93,60,0,5.46,clear sky
99,Cherskiy,RU,68.75,161.3,67.69,30,29,1.05,scattered clouds
100,Skjervoy,NO,70.0311,20.9714,44.6,79,97,5.5,overcast clouds
101,Berkak,NO,62.825,10.0118,46.6,96,99,1.07,overcast clouds
102,Praia,CV,14.9215,-23.5087,73.15,87,7,7.83,clear sky
103,East London,ZA,-33.0153,27.9116,75.72,30,100,10.71,overcast clouds
104,Saint-Philippe,RE,-21.3585,55.7679,69.39,88,83,13.35,light rain
105,Tokur,RU,53.1333,132.9,68.27,50,100,3.62,overcast clouds
106,Mantua,IT,45.1667,10.7833,74.44,74,0,1.99,clear sky
107,Hithadhoo,MV,-0.6,73.0833,83.62,72,100,8.01,light rain
108,Sarakhs,IR,36.5449,61.1577,74.91,42,2,2.51,clear sky
109,Thompson,CA,55.7435,-97.8558,72.16,39,99,8.86,overcast clouds
110,Gemena,CD,3.25,19.7667,68.86,99,100,2.28,light rain
111,Auki,SB,-8.7676,160.7034,85.05,61,12,2.33,few clouds
112,Avarua,CK,-21.2078,-159.775,78.85,65,100,13.8,overcast clouds
113,Salinopolis,BR,-0.6136,-47.3561,78.67,82,22,10.11,few clouds
114,Bambous Virieux,MU,-20.3428,57.7575,70.21,77,97,17.98,light rain
115,Mikkeli,FI,61.6886,27.2723,53.15,76,0,4.61,clear sky
116,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,52,10.0,broken clouds
117,Ligayan,PH,4.6533,119.4706,83.75,69,93,4.0,overcast clouds
118,Mananara,MG,-16.1667,49.7667,65.66,85,36,7.61,scattered clouds
119,Nizhneudinsk,RU,54.9076,99.0276,70.41,65,100,2.86,overcast clouds
120,Havre,FR,49.5833,0.3333,56.97,82,0,11.5,clear sky
121,Kavieng,PG,-2.5744,150.7967,83.01,75,83,13.27,light rain
122,Constitucion,CL,-35.3333,-72.4167,49.51,90,99,1.92,overcast clouds
123,Virginia Beach,US,36.8529,-75.978,80.06,89,40,8.05,scattered clouds
124,Klaksvik,FO,62.2266,-6.589,47.32,96,96,14.27,overcast clouds
125,Schwandorf,DE,49.3262,12.1093,63.72,97,76,4.12,light rain
126,San Antonio,US,29.4241,-98.4936,106.25,24,0,14.97,clear sky
127,Liwale,TZ,-9.7667,37.9333,62.69,55,10,4.79,clear sky
128,Hawera,NZ,-39.5917,174.2833,54.23,62,74,25.41,light rain
129,Ciudad Bolivar,VE,8.1222,-63.5497,75.67,91,99,4.65,overcast clouds
130,Ranong,TH,9.9658,98.6348,79.9,86,77,6.08,broken clouds
131,Lavrentiya,RU,65.5833,-171.0,40.84,61,99,2.64,overcast clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,10.36,overcast clouds
133,Blagoyevo,RU,63.3667,47.9167,46.0,63,60,2.95,broken clouds
134,Clyde River,CA,70.4692,-68.5914,34.43,69,52,3.87,broken clouds
135,Acapulco,MX,16.8634,-99.8901,85.82,70,75,9.22,broken clouds
136,Henties Bay,NA,-22.116,14.2845,62.65,64,0,6.78,clear sky
137,Touros,BR,-5.1989,-35.4608,76.57,83,44,9.28,scattered clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,67.93,63,100,22.3,overcast clouds
139,Kilindoni,TZ,-7.9139,39.6668,78.87,71,24,17.45,few clouds
140,Cadillac,US,44.2519,-85.4012,66.11,45,0,4.61,clear sky
141,Atuona,PF,-9.8,-139.0333,77.88,66,75,16.84,broken clouds
142,Lensk,RU,60.7253,114.9278,62.58,42,10,5.48,clear sky
143,Hong Gai,VN,20.956,107.0946,84.11,86,100,6.49,overcast clouds
144,Sasykoli,RU,47.5515,46.9968,72.91,47,41,17.02,scattered clouds
145,Mayo,US,38.8876,-76.5119,80.19,80,0,8.05,clear sky
146,Almaznyy,RU,48.0448,40.045,62.94,69,16,9.08,few clouds
147,Pevek,RU,69.7008,170.3133,38.62,64,70,8.95,broken clouds
148,Dogondoutchi,NE,13.6393,4.0287,89.04,44,52,5.3,light rain
149,Changping,CN,40.2186,116.2197,64.04,74,96,2.15,overcast clouds
150,Jashpurnagar,IN,22.9,84.15,80.1,51,62,2.19,broken clouds
151,Talnakh,RU,69.4865,88.3972,63.21,40,96,4.03,overcast clouds
152,Marsa Matruh,EG,31.3525,27.2453,71.29,88,0,11.41,clear sky
153,Sitka,US,57.0531,-135.33,51.69,82,100,5.75,light rain
154,Poitiers,FR,46.5833,0.3333,63.01,63,0,11.5,clear sky
155,Bereda,ES,43.2686,-7.5406,62.42,96,100,8.14,overcast clouds
156,Tiarei,PF,-17.5333,-149.3333,84.22,69,25,21.16,scattered clouds
157,Tretten,NO,61.3142,10.3007,46.56,74,52,4.14,broken clouds
158,Avera,US,33.194,-82.5271,91.45,50,79,5.99,broken clouds
159,Sorong,ID,-0.8833,131.25,79.95,83,100,7.23,overcast clouds
160,Tulagi,SB,-9.0996,160.1476,82.74,71,10,12.12,clear sky
161,Ribeira Grande,PT,38.5167,-28.7,62.8,77,14,22.95,few clouds
162,Wewak,PG,-3.5534,143.6268,81.46,79,41,7.16,scattered clouds
163,Lima,PE,-12.0432,-77.0282,62.91,81,100,10.36,overcast clouds
164,Deep River,CA,46.1001,-77.4995,63.95,75,30,7.92,scattered clouds
165,Zambezi,ZM,-13.5432,23.1047,53.01,65,0,4.43,clear sky
166,Hobyo,SO,5.3505,48.5268,78.44,80,99,24.27,overcast clouds
167,Dikson,RU,73.5069,80.5464,29.97,94,100,17.65,overcast clouds
168,Mutoko,ZW,-17.397,32.2268,48.69,89,0,2.75,clear sky
169,Shangrao,CN,28.4532,117.9686,68.88,98,100,2.13,overcast clouds
170,Saint-Augustin,CA,51.226,-58.6502,55.58,70,77,4.92,broken clouds
171,Khorramshahr,IR,30.4397,48.1664,91.11,14,0,9.84,clear sky
172,Chapais,CA,49.7834,-74.8492,56.98,98,98,4.25,overcast clouds
173,Bayan,CN,46.0833,127.4,62.1,93,100,6.24,overcast clouds
174,Kos,GR,36.8933,27.2889,69.24,81,3,14.7,clear sky
175,Ritchie,ZA,-29.038,24.6028,51.53,50,87,11.81,overcast clouds
176,Matay,EG,28.419,30.7792,78.3,54,0,10.33,clear sky
177,Arauco,CL,-37.2463,-73.3175,47.62,91,97,1.74,overcast clouds
178,Luangwa,ZM,-15.6167,30.4167,56.12,78,0,2.86,clear sky
179,Maniitsoq,GL,65.4167,-52.9,34.65,80,84,31.52,light snow
180,Boueni,YT,-12.9025,45.0761,76.98,66,1,12.93,clear sky
181,Mizdah,LY,31.4451,12.9801,66.06,57,0,4.94,clear sky
182,Skibbereen,IE,51.55,-9.2667,55.11,81,48,9.66,scattered clouds
183,Linxia,CN,35.6003,103.2064,58.06,59,69,1.36,broken clouds
184,Roura,GF,4.7263,-52.3274,81.97,94,0,0.0,clear sky
185,Siirt,TR,37.9326,41.9403,68.16,44,37,2.95,scattered clouds
186,Natal,BR,-5.795,-35.2094,75.58,82,40,7.0,scattered clouds
187,Yertsevo,RU,60.7966,40.086,48.25,78,72,5.5,broken clouds
188,Mangaluru,IN,12.8667,74.8833,74.26,88,75,5.75,broken clouds
189,Deputatskiy,RU,69.3,139.9,61.59,35,0,20.15,clear sky
190,Morales,CO,2.757,-76.6172,60.08,87,84,3.0,moderate rain
191,Christchurch,NZ,-43.5333,172.6333,47.91,74,75,5.01,broken clouds
192,Hilo,US,19.7297,-155.09,90.28,77,100,9.22,overcast clouds
193,Bani,DO,18.2833,-70.3333,78.75,81,32,8.86,scattered clouds
194,Zhigansk,RU,66.7697,123.3711,50.68,92,100,3.24,light rain
195,Tabas,IR,33.5959,56.9244,83.98,23,3,3.87,clear sky
196,Broken Hill,AU,-31.95,141.4333,48.2,69,22,3.69,few clouds
197,Isabela,PH,6.7085,121.9711,81.86,79,100,2.75,heavy intensity rain
198,Elizabeth City,US,36.2946,-76.2511,78.82,83,0,5.75,clear sky
199,Port-Gentil,GA,-0.7193,8.7815,77.52,85,76,9.95,light rain
200,Atambua,ID,-9.1061,124.8925,74.73,66,64,6.15,broken clouds
201,Cap Malheureux,MU,-19.9842,57.6142,70.47,89,84,5.99,moderate rain
202,Grand Forks,US,47.9417,-97.4337,82.13,34,75,10.36,broken clouds
203,Aleksandrov Gay,RU,50.147,48.5704,56.95,58,6,7.87,clear sky
204,Muroto,JP,33.2833,134.15,71.53,65,100,8.03,light rain
205,Longyearbyen,SJ,78.2186,15.6401,39.04,87,100,3.44,overcast clouds
206,Tongzi,CN,28.7829,105.0877,69.96,92,97,2.19,overcast clouds
207,Buy,RU,58.4786,41.53,47.21,80,14,4.23,few clouds
208,Pathein,MM,16.7833,94.7333,79.56,87,98,2.19,overcast clouds
209,Zhangjiakou,CN,40.81,114.8794,65.25,55,62,5.88,broken clouds
210,Chokurdakh,RU,70.6333,147.9167,62.44,22,9,13.11,clear sky
211,Kenora,CA,49.8167,-94.4337,60.78,77,86,17.0,overcast clouds
212,Olsztyn,PL,53.7799,20.4942,58.96,97,95,4.32,overcast clouds
213,Khilok,RU,51.3674,110.4676,64.08,44,44,2.13,scattered clouds
214,Teguise,ES,29.0605,-13.564,66.42,78,75,13.8,broken clouds
215,Namibe,AO,-15.1961,12.1522,67.41,63,0,6.42,clear sky
216,Carnarvon,AU,-24.8667,113.6333,64.35,70,16,14.9,few clouds
217,Miaga,PH,12.2376,123.8167,83.93,73,100,6.15,overcast clouds
218,Tautira,PF,-17.7333,-149.15,78.13,68,46,19.04,scattered clouds
219,Katsuura,JP,35.1333,140.3,70.09,61,100,5.75,overcast clouds
220,Kargil,IN,34.5667,76.1,48.94,53,72,4.97,broken clouds
221,Yarada,IN,17.65,83.2667,80.92,89,75,2.3,mist
222,Gat,IL,31.61,34.7642,74.08,100,43,10.36,scattered clouds
223,Quimper,FR,48.0,-4.1,54.16,93,0,3.44,clear sky
224,Omsukchan,RU,62.5333,155.8,41.68,80,100,4.14,overcast clouds
225,Moree,AU,-29.4667,149.85,50.04,64,97,7.09,overcast clouds
226,Port Elizabeth,ZA,-33.918,25.5701,70.32,34,0,6.91,clear sky
227,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,75,17.27,broken clouds
228,Udachnyy,RU,66.4167,112.4,59.45,67,29,13.35,scattered clouds
229,Labuhan,ID,-6.8844,112.2051,78.93,86,98,5.64,overcast clouds
230,Mahebourg,MU,-20.4081,57.7,71.89,88,75,14.97,broken clouds
231,Kasongo-Lunda,CD,-6.4667,16.8167,66.43,50,12,2.19,few clouds
232,Kirkwall,GB,58.9848,-2.9587,51.85,82,75,18.41,broken clouds
